Node,Period,Node.1,Period.1,MaxBiomethaneAvailability_[TJ].1,Available_Biomethane_[TJ],col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Hungary,7,Hungary,7,97160.0,204422.29468063856,,,,,,,,,,,,,,,,,,
Ireland,7,Ireland,7,55867.0,36006.042293474435,,,,,,,,,,,,,,,,,,
Italy,7,Italy,7,327915.0,599967.0845170596,,,,,,,,,,,,,,,,,,
Lithuania,7,Lithuania,7,24290.0,74688.69496382479,,,,,,,,,,,,,,,,,,
Luxemb.,7,Luxemb.,7,4858.0,54485.21999895454,,,,,,,,,,,,,,,,,,
Latvia,7,Latvia,7,36435.0,24665.080337054664,,,,,,,,,,,,,,,,,,
Macedonia,7,Macedonia,7,24290.0,15491.263257707971,,,,,,,,,,,,,,,,,,
Netherlands,7,Netherlands,7,85015.0,237887.54183506317,,,,,,,,,,,,,,,,,,
NO1,7,NO1,7,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO2,7,NO2,7,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO3,7,NO3,7,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO4,7,NO4,7,7287.0,0.0,,,,,,,,,,,,,,,,,,
NO5,7,NO5,7,7287.0,0.0,,,,,,,,,,,,,,,,,,
Poland,7,Poland,7,303625.0,352687.7932578093,,,,,,,,,,,,,,,,,,
